,pc,pt,B,log pc,log pt,sqrt inv pc,sqrt inv pt,nc,nr,Br,l1,l2,ldist,fcontrac,fexpand,lsp,dmax_psD,dmax_sD,nn_dist_sD,nn_dist_nsD,nn_diff_n,nn_dist_psD,nn_dist_npsD,dpt_corr,exp_corr,or_exp_corr,trajectory type
343,0.05,0.01,0.0005,-2.995732273553991,-4.605170185988091,4.47213595499958,10.0,20,2529.0,50580,0.18,0.053,1.7286551460952189,0.42105263157894735,0.5789473684210527,0,81.24067944884457,370.69215113512314,43.01121193063874,0.11602946487788046,0.2833108314466487,16.30672879262732,0.200721226154876,0.9167946543035316,0.7850938061205824,0.7667414047412747,hayashi
344,0.07,0.007142857142857143,0.0005,-2.659260036932778,-4.941642422609305,3.779644730092272,11.832159566199232,28,1741.9285714285713,48774,0.155,0.04,1.6144217214721008,0.4523809523809524,0.5476190476190477,0,74.77282106310753,358.10773998992704,36.99706564949545,0.10331266688214032,0.19981660908972412,11.449727737992939,0.15312686582106458,0.9244654093741228,0.828229538531035,0.8742420630757565,hayashi
345,0.1,0.005,0.0005,-2.3025850929940455,-5.298317366548036,3.1622776601683795,14.142135623730951,41,1192.8048780487804,48905,0.125,0.027,1.541432909306455,0.4426829268292683,0.5573170731707318,0,80.59666817429053,370.85963391987804,31.71402623305042,0.08551490464961749,0.14692462038729637,7.770725475328136,0.09641497162790796,0.9423368807378953,0.6353999065392931,0.6602042352605868,hayashi
346,0.16,0.003125,0.0005,-1.8325814637483102,-5.768320995793772,2.5,17.88854381999832,66,764.8484848484849,50480,0.149,0.035,1.6281870841211994,0.5081585081585082,0.49184149184149184,0,54.10212634125429,367.5758086182563,29.3550023303755,0.07986108346118599,0.18767353947628634,5.148564232169766,0.09516380557197901,0.9395253250711647,0.8701837686013999,0.8186338527611161,hayashi
347,0.24,0.0020833333333333333,0.0005,-1.4271163556401458,-6.173786103901937,2.041241452319315,21.908902300206645,99,518.5959595959596,51341,0.159,0.04,1.6966462476298045,0.4782519068233354,0.5211296639868068,0,43.2174208437171,374.04003551220586,27.562471070562694,0.07368855858656678,0.20172711096362383,3.6012650647204523,0.08332901395812936,0.9409918332124643,0.7511454126352328,0.8586562968842937,hayashi
348,0.36,0.001388888888888889,0.0005,-1.0216512475319814,-6.579251212010101,1.6666666666666667,26.832815729997478,149,337.91946308724835,50350,0.204,0.062,1.954682395990231,0.3595138762923998,0.6403047342644658,0,29.29688587537161,399.68550251881913,25.59709529747368,0.06404309172126764,0.34053616847664137,2.526462326019543,0.086236548716033,0.9319918457693486,0.7412647209400067,0.8285522783636236,hayashi
349,0.55,0.0009090909090909091,0.0005,-0.5978370007556204,-7.003065458786462,1.348399724926484,33.166247903554,227,223.88546255506608,50822,0.168,0.044,1.7994469634876569,0.4711707145920237,0.5285174067287826,0,26.72713287429218,413.14563246397654,23.397364512162802,0.056632244597679224,0.2602849317860241,1.8585131149927174,0.06953656883938909,0.9002710574479896,0.8335022831501568,0.8594194060286087,hayashi
350,0.84,0.0005952380952380953,0.0005,-0.1743533871447778,-7.426549072397305,1.0910894511799618,40.98780306383839,347,146.15273775216139,50715,0.19,0.054,1.9097483801008268,0.4075227798970532,0.5921440589029001,0,16.12723308758499,397.8125325809592,22.23760460604064,0.05589970849275607,0.3337463046028669,1.3788844055021252,0.08550037058518198,0.8573830646133487,0.701452009410027,0.7710380126926253,hayashi
351,0.03,0.016666666666666666,0.0005,-3.506557897319982,-4.0943445622221,5.773502691896258,7.745966692414834,12,4246.0,50952,0.361,0.191,2.7277093348338632,0.09090909090909091,0.9090909090909091,0,78.79567495771342,235.16160048722355,41.54216400619953,0.17665368801764272,0.5323214916387168,32.98509570633379,0.4186155613748547,0.9576754329097816,0.46448172470123994,0.5860343127543679,hayashi
352,0.05,0.01,0.0005,-2.995732273553991,-4.605170185988091,4.47213595499958,10.0,20,2416.05,48321,0.161,0.043,1.57845826716555,0.3368421052631579,0.6631578947368421,0,81.55869528377418,365.851249428481,42.976915590042196,0.11747100948043529,0.19262607313067243,16.487030503117044,0.20214926741719325,0.9730517432635865,0.773957527941524,0.7632195494924625,hayashi
353,0.07,0.007142857142857143,0.0005,-2.659260036932778,-4.941642422609305,3.779644730092272,11.832159566199232,28,1788.5714285714287,50080,0.165,0.044,1.6158093646123641,0.5238095238095238,0.47619047619047616,0,91.47295830730005,351.4888157987259,40.08671442937278,0.11404833561568506,0.1367254930141192,11.06505456926465,0.12096530793387048,0.9614844808625549,0.8342752042793199,0.8471136592384019,hayashi
354,0.1,0.005,0.0005,-2.3025850929940455,-5.298317366548036,3.1622776601683795,14.142135623730951,41,1236.121951219512,50681,0.187,0.057,1.9176680046741406,0.7024390243902439,0.2975609756097561,0,114.88401004014813,378.5419188306195,34.203850323240346,0.09035683664546812,0.10884155851488679,8.018681202055054,0.06979806153400106,0.9574477703389626,0.8266828326258502,0.7890844271469547,hayashi
355,0.16,0.003125,0.0005,-1.8325814637483102,-5.768320995793772,2.5,17.88854381999832,66,760.3181818181819,50181,0.187,0.054,1.7819181792988854,0.3417249417249417,0.6582750582750583,0,45.921385133256976,369.54450351923674,29.175283183153603,0.0789493089609297,0.26141827285520075,5.134557091028869,0.1118118949619911,0.9378971044317954,0.8481920973380677,0.8192946023505941,hayashi
356,0.24,0.0020833333333333333,0.0005,-1.4271163556401458,-6.173786103901937,2.041241452319315,21.908902300206645,99,513.8888888888889,50875,0.148,0.035,1.6644036296097529,0.5269016697588126,0.4722737579880437,0,49.49809761407497,399.68550251881913,27.26122520823688,0.06820669010118349,0.14518147641776266,3.5426546967913017,0.07157153239327596,0.9300247501986856,0.8640266674109158,0.8048192278648154,hayashi
357,0.36,0.001388888888888889,0.0005,-1.0216512475319814,-6.579251212010101,1.6666666666666667,26.832815729997478,149,339.69127516778525,50614,0.18,0.052,1.8372421793772962,0.4111191728641393,0.5884273535280247,0,30.151062176305384,397.8125325809592,25.396845003353565,0.06384123908460584,0.2714018829355903,2.604072504921574,0.08636752130636442,0.921353304641376,0.7900920788735208,0.7872410331062635,hayashi
358,0.55,0.0009090909090909091,0.0005,-0.5978370007556204,-7.003065458786462,1.348399724926484,33.166247903554,227,222.04845814977975,50405,0.185,0.053,1.8941103340455043,0.41425285563915637,0.5854352656816498,0,27.04767883040773,413.14563246397654,23.52716528633915,0.05694642140115219,0.2692266266891089,1.8547114840858991,0.0685719279541571,0.9190931639968983,0.8118734905757776,0.8189190061844549,hayashi
359,0.84,0.0005952380952380953,0.0005,-0.1743533871447778,-7.426549072397305,1.0910894511799618,40.98780306383839,347,146.37175792507205,50791,0.181,0.049,1.9115689787542152,0.4423547833619297,0.5573953457380354,0,24.318486348348923,413.14563246397654,21.83941566697402,0.052861301078568866,0.2928820144308502,1.3841313624435714,0.05691683859828494,0.8724793294198737,0.7742416119929694,0.8680570131624977,hayashi
360,0.03,0.016666666666666666,0.0005,-3.506557897319982,-4.0943445622221,5.773502691896258,7.745966692414834,12,4117.833333333333,49414,0.304,0.138,2.1443513106188234,0.25757575757575757,0.7424242424242424,0,82.894586436902,373.26655449686103,54.96437848627823,0.1472523531082677,0.45077009205842944,33.70349678012725,0.4065826036273406,0.9480332294473478,0.7613826050609358,0.6712970722172027,hayashi
